ID,PID,Hours,Amount,Phase Bill Count,DeliveryMethod,Status,Division,Unit,Sponsor,Phase,ActualDuration,ProjectDuration,PlanningDuration,DesignDuration,ProcurementDuration,ConstructionDuration,CloseOutDuration,Monthly FTE
PV467-APT-Initiation,PV467-APT,8.5,872.4399999999999,3,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Initiation,2.26,3874.0,70.0,,,729.0,180.0,0.03
PV467-APT-Design,PV467-APT,3122.25,386674.7600000004,354,2.DsgnConsultOnly,Active,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Design,105.33,3874.0,70.0,,,729.0,180.0,0.21
PV236-VIS-Design,PV236-VIS,7.0,777.4200000000001,2,1.AllInHouse,Completed,PUBLIC BUILDINGS,PASS THROUGH,Cultural Affairs,Design,3.39,1255.0,29.0,105.0,26.0,1095.0,180.0,0.01
PV236-VIS-Procurement,PV236-VIS,25.0,3030.28,4,1.AllInHouse,Completed,PUBLIC BUILDINGS,PASS THROUGH,Cultural Affairs,Procurement,1.32,1255.0,29.0,105.0,26.0,1095.0,180.0,0.14
PV236-VIS-Construction,PV236-VIS,862.0,117824.47,139,1.AllInHouse,Completed,PUBLIC BUILDINGS,PASS THROUGH,Cultural Affairs,Construction,33.42,1255.0,29.0,105.0,26.0,1095.0,180.0,0.18
PV236-VIS-Closeout,PV236-VIS,73.75,10642.290000000005,24,1.AllInHouse,Completed,PUBLIC BUILDINGS,PASS THROUGH,Cultural Affairs,Closeout,5.52,1255.0,29.0,105.0,26.0,1095.0,180.0,0.1
PO79-FSUP-Initiation,PO79-FSUP,295.5,39635.48,31,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,POLICE,Police,Initiation,8.65,1730.0,268.0,625.0,327.0,510.0,180.0,0.24
PO79-FSUP-Design,PO79-FSUP,2495.25,349807.90000000014,238,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,POLICE,Police,Design,20.16,1730.0,268.0,625.0,327.0,510.0,180.0,0.88
PO79-FSUP-Procurement,PO79-FSUP,650.5,93959.51999999999,70,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,POLICE,Police,Procurement,10.55,1730.0,268.0,625.0,327.0,510.0,180.0,0.44
PO79-FSUP-Construction,PO79-FSUP,2230.25,332792.12000000005,127,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,POLICE,Police,Construction,16.45,1730.0,268.0,625.0,327.0,510.0,180.0,0.97
PO79-FSUP-Closeout,PO79-FSUP,341.75,49423.96,17,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,POLICE,Police,Closeout,4.6,1730.0,268.0,625.0,327.0,510.0,180.0,0.53
PV467-BHT-Initiation,PV467-BHT,515.5,70665.93000000001,70,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Initiation,8.03,4738.0,1980.0,779.0,633.0,626.0,720.0,0.46
PV467-BHT-Design,PV467-BHT,2366.75,341948.45000000007,214,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Design,25.13,4738.0,1980.0,779.0,633.0,626.0,720.0,0.67
PV467-BHT-Procurement,PV467-BHT,799.0,118060.28000000001,109,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Procurement,18.97,4738.0,1980.0,779.0,633.0,626.0,720.0,0.3
PV467-BHT-Construction,PV467-BHT,2867.0,438560.91000000003,247,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Construction,21.64,4738.0,1980.0,779.0,633.0,626.0,720.0,0.95
PV467-BHT-Closeout,PV467-BHT,347.0,47373.649999999994,52,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Closeout,5.52,4738.0,1980.0,779.0,633.0,626.0,720.0,0.45
PV467-122-Initiation,PV467-122,277.58333333333337,30828.460000000014,56,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Initiation,9.68,4625.0,300.0,1365.0,274.0,1953.0,733.0,0.2
PV467-122-Design,PV467-122,5076.5,668821.4,516,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Design,44.03,4625.0,300.0,1365.0,274.0,1953.0,733.0,0.82
PV467-122-Procurement,PV467-122,693.75,100141.83999999998,67,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Procurement,8.84,4625.0,300.0,1365.0,274.0,1953.0,733.0,0.56
PV467-122-Construction,PV467-122,20415.41666666666,3053438.299999993,1105,2.DsgnConsultOnly,Completed,PUBLIC BUILDINGS,CULTURALS,Cultural Affairs,Construction,63.0,4625.0,300.0,1365.0,274.0,1953.0,733.0,2.31
